country,currency,apple_price_local,model,storage,fx_local_per_usd,usd_equivalent,premium_vs_us,nominal_price_rank,tax_note,evidence_type,snapshot_date
United States,USD,929,iPhone 17,256GB,1,929,0,13,US listed price; state/local sales tax excluded,REPORTED,2026-09-11
India,INR,99900,iPhone 17,256GB,95.44120179063361,1046.7177500462276,0.12671447798302227,7,Apple India prices explicitly include GST,REPORTED,2026-09-11
China,CNY,6799,iPhone 17,256GB,6.706267217630854,1013.8277792041079,0.09131084952002988,10,Not fully tax-normalized,REPORTED,2026-09-11
Japan,JPY,159800,iPhone 17,256GB,154.17527548209367,1036.4826623485399,0.11569716076269088,8,Not fully tax-normalized,REPORTED,2026-09-11
United Arab Emirates,AED,3799,iPhone 17,256GB,3.6725,1034.4452008168823,0.11350398365649328,9,Not fully tax-normalized,REPORTED,2026-09-11
Singapore,SGD,1449,iPhone 17,256GB,1.2664428374655647,1144.149547957311,0.23159262428128202,5,Not fully tax-normalized,REPORTED,2026-09-11
United Kingdom,GBP,899,iPhone 17,256GB,0.7396263774104683,1215.478554385148,0.30837304024235523,4,Not fully tax-normalized,REPORTED,2026-09-11
Germany,EUR,1099,iPhone 17,256GB,0.8608815426997245,1276.5984,0.37416404736275566,3,Not fully tax-normalized,REPORTED,2026-09-11
Brazil,BRL,8299,iPhone 17,256GB,5.12465564738292,1619.4258836177933,0.7431925550245353,2,Not fully tax-normalized,REPORTED,2026-09-11
Türkiye,TRY,99999,iPhone 17,256GB,48.4948347107438,2062.054662036938,1.2196497976716234,1,Not fully tax-normalized,REPORTED,2026-09-11
Canada,CAD,1299,iPhone 17,256GB,1.3816287878787878,940.1946538725155,0.012050219453730415,12,Canadian sales taxes excluded from listed price,REPORTED,2026-09-11
Australia,AUD,1549,iPhone 17,256GB,1.3917871900826446,1112.9575060308034,0.1980166910988197,6,Not fully tax-normalized,REPORTED,2026-09-11
Hong Kong,HKD,7799,iPhone 17,256GB,7.841167355371901,994.6223115180659,0.07063757967499029,11,No general sales tax; still listed-price basis,REPORTED,2026-09-11
