country,iphone_price_usd,gdp_per_capita_ppp,price_as_share_gdp_ppp,gdp_ppp_equivalent_months,affordability_rank
United States,929,89991,0.01032325454767699,0.12387905457212386,12
India,1046.7177500462276,11789,0.08878766223142145,1.0654519467770576,1
China,1013.8277792041079,29352,0.034540330444402696,0.4144839653328324,4
Japan,1036.4826623485399,56854,0.018230602285653427,0.2187672274278411,6
United Arab Emirates,1034.4452008168823,83343,0.012411902629097613,0.14894283154917137,10
Singapore,1144.149547957311,164318,0.006963020167950626,0.08355624201540751,13
United Kingdom,1215.478554385148,65525,0.01854984440114686,0.22259813281376234,5
Germany,1276.5984,74004,0.01725039727582293,0.20700476730987516,7
Brazil,1619.4258836177933,23381,0.06926247310285245,0.8311496772342295,2
Türkiye,2062.054662036938,44110,0.046748008661005175,0.5609761039320621,3
Canada,940.1946538725155,67013,0.014030033782587192,0.1683604053910463,9
Australia,1112.9575060308034,72132,0.01542945580367664,0.1851534696441197,8
Hong Kong,994.6223115180659,80323,0.012382783405974204,0.14859340087169043,11
