iphone_resale_rate,galaxy_resale_rate,iphone_monthly_tco_inr,galaxy_monthly_tco_inr,iphone_minus_galaxy_monthly_inr,lower_tco_device
0.3,0.25,1942.5,1833.3125,109.1875,Galaxy lower TCO
0.3,0.35,1942.5,1588.8708333333334,353.6291666666666,Galaxy lower TCO
0.3,0.4,1942.5,1466.65,475.8499999999999,Galaxy lower TCO
0.3,0.45,1942.5,1344.4291666666668,598.0708333333332,Galaxy lower TCO
0.3,0.55,1942.5,1099.9875,842.5125,Galaxy lower TCO
0.4,0.25,1665.0,1833.3125,-168.3125,iPhone lower TCO
0.4,0.35,1665.0,1588.8708333333334,76.1291666666666,Galaxy lower TCO
0.4,0.4,1665.0,1466.65,198.3499999999999,Galaxy lower TCO
0.4,0.45,1665.0,1344.4291666666668,320.5708333333332,Galaxy lower TCO
0.4,0.55,1665.0,1099.9875,565.0125,Galaxy lower TCO
0.5,0.25,1387.5,1833.3125,-445.8125,iPhone lower TCO
0.5,0.35,1387.5,1588.8708333333334,-201.3708333333334,iPhone lower TCO
0.5,0.4,1387.5,1466.65,-79.15000000000009,iPhone lower TCO
0.5,0.45,1387.5,1344.4291666666668,43.07083333333321,Galaxy lower TCO
0.5,0.55,1387.5,1099.9875,287.51250000000005,Galaxy lower TCO
0.6,0.25,1110.0,1833.3125,-723.3125,iPhone lower TCO
0.6,0.35,1110.0,1588.8708333333334,-478.8708333333334,iPhone lower TCO
0.6,0.4,1110.0,1466.65,-356.6500000000001,iPhone lower TCO
0.6,0.45,1110.0,1344.4291666666668,-234.4291666666668,iPhone lower TCO
0.6,0.55,1110.0,1099.9875,10.012500000000045,Galaxy lower TCO
0.7,0.25,832.5000000000001,1833.3125,-1000.8124999999999,iPhone lower TCO
0.7,0.35,832.5000000000001,1588.8708333333334,-756.3708333333333,iPhone lower TCO
0.7,0.4,832.5000000000001,1466.65,-634.15,iPhone lower TCO
0.7,0.45,832.5000000000001,1344.4291666666668,-511.9291666666667,iPhone lower TCO
0.7,0.55,832.5000000000001,1099.9875,-267.48749999999984,iPhone lower TCO
